feature,threshold,precision,recall,f1,TPR,FPR,TNR,FNR,specificity,accuracy
degree_x,0.0,0.00738327904451683,0.9444444444444444,0.014652014652014652,0.9444444444444444,0.9208299758259468,0.07917002417405318,0.05555555555555555,0.07917002417405318,0.0854
degree_x,13.727272727272727,0.007107709130672498,0.7222222222222222,0.014076881429344884,0.7222222222222222,0.7316680096696213,0.26833199033037874,0.2777777777777778,0.26833199033037874,0.2716
degree_x,27.454545454545453,0.007337205747477835,0.6666666666666666,0.01451466586029634,0.6666666666666666,0.6541095890410958,0.3458904109589041,0.3333333333333333,0.3458904109589041,0.3482
degree_x,41.18181818181818,0.007828454731109599,0.6388888888888888,0.01546738399462004,0.6388888888888888,0.5872280419016922,0.4127719580983078,0.3611111111111111,0.4127719580983078,0.4144
degree_x,54.90909090909091,0.008264462809917356,0.6111111111111112,0.01630837657524092,0.6111111111111112,0.5318291700241741,0.46817082997582593,0.3888888888888889,0.46817082997582593,0.4692
degree_x,68.63636363636363,0.007422680412371134,0.5,0.014628199918732222,0.5,0.48489121676067687,0.5151087832393231,0.5,0.5151087832393231,0.515
degree_x,82.36363636363636,0.007535460992907801,0.4722222222222222,0.014834205933682374,0.4722222222222222,0.4510475423045931,0.5489524576954069,0.5277777777777778,0.5489524576954069,0.5484
degree_x,96.0909090909091,0.00800376647834275,0.4722222222222222,0.01574074074074074,0.4722222222222222,0.42445608380338434,0.5755439161966156,0.5277777777777778,0.5755439161966156,0.5748
degree_x,109.81818181818181,0.008633824276282377,0.4722222222222222,0.016957605985037406,0.4722222222222222,0.39323126510878326,0.6067687348912167,0.5277777777777778,0.6067687348912167,0.6058
degree_x,123.54545454545453,0.009229098805646038,0.4722222222222222,0.018104366347177853,0.4722222222222222,0.36764705882352944,0.6323529411764706,0.5277777777777778,0.6323529411764706,0.6312
degree_x,137.27272727272725,0.009211283822682787,0.4444444444444444,0.01804850535815003,0.4444444444444444,0.346696212731668,0.6533037872683319,0.5555555555555556,0.6533037872683319,0.6518
degree_x,151.0,0.009305210918114143,0.4166666666666667,0.01820388349514563,0.4166666666666667,0.3217163577759871,0.6782836422240129,0.5833333333333334,0.6782836422240129,0.6764
degree_x,164.72727272727272,0.009940357852882704,0.4166666666666667,0.019417475728155338,0.4166666666666667,0.30096696212731666,0.6990330378726833,0.5833333333333334,0.6990330378726833,0.697
degree_x,178.45454545454544,0.009200283085633405,0.3611111111111111,0.017943409247757076,0.3611111111111111,0.28203062046736505,0.717969379532635,0.6388888888888888,0.717969379532635,0.7154
degree_x,192.1818181818182,0.00913937547600914,0.3333333333333333,0.017790956263899187,0.3333333333333333,0.2620870265914585,0.7379129734085415,0.6666666666666666,0.7379129734085415,0.735
degree_x,205.9090909090909,0.009584664536741214,0.3333333333333333,0.018633540372670808,0.3333333333333333,0.24979854955680902,0.750201450443191,0.6666666666666666,0.750201450443191,0.7472
degree_x,219.63636363636363,0.009490940465918895,0.3055555555555556,0.01841004184100418,0.3055555555555556,0.23126510878323933,0.7687348912167606,0.6944444444444444,0.7687348912167606,0.7654
degree_x,233.36363636363635,0.010175763182238668,0.3055555555555556,0.019695613249776187,0.3055555555555556,0.21555197421434327,0.7844480257856568,0.6944444444444444,0.7844480257856568,0.781
degree_x,247.09090909090907,0.010869565217391304,0.3055555555555556,0.02099236641221374,0.3055555555555556,0.201651893634166,0.798348106365834,0.6944444444444444,0.798348106365834,0.7948
degree_x,260.8181818181818,0.011446409989594173,0.3055555555555556,0.022066198595787366,0.3055555555555556,0.19137792103142626,0.8086220789685737,0.6944444444444444,0.8086220789685737,0.805
degree_x,274.5454545454545,0.012008733624454149,0.3055555555555556,0.023109243697478993,0.3055555555555556,0.1823126510878324,0.8176873489121677,0.6944444444444444,0.8176873489121677,0.814
degree_x,288.27272727272725,0.012850467289719626,0.3055555555555556,0.02466367713004484,0.3055555555555556,0.17022562449637388,0.8297743755036261,0.6944444444444444,0.8297743755036261,0.826
degree_x,302.0,0.013597033374536464,0.3055555555555556,0.02603550295857988,0.3055555555555556,0.16075745366639807,0.839242546333602,0.6944444444444444,0.839242546333602,0.8354
degree_x,315.7272727272727,0.014492753623188406,0.3055555555555556,0.027672955974842768,0.3055555555555556,0.1506849315068493,0.8493150684931506,0.6944444444444444,0.8493150684931506,0.8454
degree_x,329.45454545454544,0.01422475106685633,0.2777777777777778,0.027063599458728008,0.2777777777777778,0.1396051571313457,0.8603948428686543,0.7222222222222222,0.8603948428686543,0.8562
degree_x,343.1818181818182,0.015197568389057751,0.2777777777777778,0.028818443804034585,0.2777777777777778,0.1305398871877518,0.8694601128122482,0.7222222222222222,0.8694601128122482,0.8652
degree_x,356.9090909090909,0.014469453376205787,0.25,0.027355623100303948,0.25,0.12348912167606768,0.8765108783239323,0.75,0.8765108783239323,0.872
degree_x,370.6363636363636,0.015254237288135594,0.25,0.028753993610223644,0.25,0.11704270749395648,0.8829572925060435,0.75,0.8829572925060435,0.8784
degree_x,384.3636363636364,0.015985790408525755,0.25,0.030050083472454088,0.25,0.11160354552780016,0.8883964544721998,0.75,0.8883964544721998,0.8838
degree_x,398.09090909090907,0.015238095238095238,0.2222222222222222,0.0285204991087344,0.2222222222222222,0.10414987912973409,0.8958501208702659,0.7777777777777778,0.8958501208702659,0.891
degree_x,411.8181818181818,0.016359918200409,0.2222222222222222,0.03047619047619048,0.2222222222222222,0.09689766317485898,0.903102336825141,0.7777777777777778,0.903102336825141,0.8982
