feature,threshold,precision,recall,f1,TPR,FPR,TNR,FNR,specificity,accuracy
degree_x,4.0,0.4322864572914583,1.0,0.6036312849162011,1.0,0.9996477632969355,0.0003522367030644593,0.0,0.0003522367030644593,0.4324
degree_x,6.484848484848484,0.4332996972754793,0.993521517815826,0.6034288926363125,0.993521517815826,0.9890806622050018,0.010919337794998239,0.006478482184173994,0.010919337794998239,0.4356
degree_x,8.969696969696969,0.4352532679738562,0.9861175381767701,0.6039393509990081,0.9861175381767701,0.97393448397323,0.02606551602676999,0.013882461823229986,0.02606551602676999,0.441
degree_x,11.454545454545455,0.4368992895946511,0.96760758907913,0.6019864689794155,0.96760758907913,0.9492779147587178,0.05072208524128214,0.03239241092086997,0.05072208524128214,0.447
degree_x,13.93939393939394,0.4398464163822526,0.9541878759833411,0.6021316980581106,0.9541878759833411,0.9249735822472702,0.07502641775272983,0.045812124016658955,0.07502641775272983,0.455
degree_x,16.424242424242422,0.4449602122015915,0.9315131883387321,0.6022438294689603,0.9315131883387321,0.8844663613948573,0.11553363860514265,0.06848681166126794,0.11553363860514265,0.4682
degree_x,18.90909090909091,0.4466591166477916,0.912540490513651,0.5997566909975669,0.912540490513651,0.8605142655864741,0.13948573441352588,0.08745950948634891,0.13948573441352588,0.4736
degree_x,21.393939393939394,0.4536252354048964,0.8917167977788061,0.601341863005149,0.8917167977788061,0.8175413878126101,0.18245861218738993,0.10828320222119389,0.18245861218738993,0.489
degree_x,23.87878787878788,0.45702559150169003,0.8759833410458121,0.6006663493574489,0.8759833410458121,0.792180345191969,0.207819654808031,0.12401665895418787,0.207819654808031,0.4966
degree_x,26.363636363636363,0.4632186793873964,0.8537714021286441,0.6005859375,0.8537714021286441,0.753082071151814,0.24691792884818597,0.14622859787135586,0.24691792884818597,0.5092
degree_x,28.848484848484848,0.46905621454357915,0.8417399352151782,0.6024176188110615,0.8417399352151782,0.7252553716097218,0.27474462839027824,0.15826006478482185,0.27474462839027824,0.5198
degree_x,31.333333333333332,0.47225186766275346,0.8190652475705692,0.599086139786766,0.8190652475705692,0.6967241986615005,0.30327580133849946,0.18093475242943083,0.30327580133849946,0.5262
degree_x,33.81818181818182,0.47659457979742675,0.8056455344747802,0.5988992088063295,0.8056455344747802,0.6734765762592462,0.32652342374075377,0.19435446552521982,0.32652342374075377,0.5336
degree_x,36.303030303030305,0.4813664596273292,0.7889865802869042,0.5979309135542697,0.7889865802869042,0.6470588235294118,0.35294117647058826,0.21101341971309578,0.35294117647058826,0.5414
degree_x,38.78787878787879,0.4882778581765557,0.7806571031929662,0.6007834757834758,0.7806571031929662,0.6227544910179641,0.3772455089820359,0.21934289680703378,0.3772455089820359,0.5516
