,model,ca,precision,recall,f1
0,GraphSAGE Degree,0.5683060109289617,0.5612244897959183,0.6043956043956044,0.582010582010582
1,GraphSAGE Name,0.4426229508196721,0.43037974683544306,0.37362637362637363,0.4
2,GraphSAGE Random,0.5191256830601093,0.5154639175257731,0.5494505494505495,0.5319148936170213
3,Majority,0.4972677595628415,0.4972677595628415,1.0,0.6642335766423357
4,Name Embedding,0.5245901639344263,0.5208333333333334,0.5494505494505495,0.5347593582887701
5,Neighbor Mean,0.5245901639344263,0.5476190476190477,0.25274725274725274,0.3458646616541353
6,Spectral,0.4918032786885246,0.4945054945054945,0.989010989010989,0.6593406593406593
7,Track Degree,0.5027322404371585,0.5,0.7032967032967034,0.5844748858447488
